service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10,1,1,1,1,1,0,0,20250824,20260221
11,0,0,0,0,0,0,0,20250824,20260221
12,0,0,0,0,0,1,0,20250824,20260221
13,0,0,0,0,0,0,1,20250824,20260221
16,1,1,1,1,1,0,0,20250824,20260221
18,0,0,0,0,0,1,0,20250824,20260221
19,0,0,0,0,0,0,1,20250824,20260221
22,1,1,1,1,1,0,0,20250824,20260221
24,0,0,0,0,0,1,0,20250824,20260221
25,0,0,0,0,0,0,1,20250824,20260221
28,1,1,1,1,1,0,0,20250824,20260221
30,0,0,0,0,0,1,0,20250824,20260221
31,0,0,0,0,0,0,1,20250824,20260221
40,1,1,1,1,1,0,0,20250825,20260222
42,0,0,0,0,0,1,0,20250825,20260222
43,0,0,0,0,0,0,1,20250825,20260222
46,1,1,1,1,1,0,0,20250824,20260221
48,0,0,0,0,0,1,0,20250824,20260221
49,0,0,0,0,0,0,1,20250824,20260221
52,1,1,1,1,1,0,0,20250824,20260221
54,0,0,0,0,0,1,0,20250824,20260221
55,0,0,0,0,0,0,1,20250824,20260221
68,0,0,0,0,0,0,0,20250824,20260221
69,0,0,0,0,0,0,0,20250824,20260221
943,0,0,0,0,0,0,1,20250824,20250824
922,1,1,1,1,1,0,0,20250824,20250927
924,0,0,0,0,0,1,0,20250824,20250927
925,0,0,0,0,0,0,1,20250824,20250927
