service_id,date,exception_type
33610,20250825,1
34010,20250825,1
65110,20250825,1
336110,20250825,1
341510,20250825,1
33610,20250826,1
34010,20250826,1
65110,20250826,1
336010,20250826,1
341610,20250826,1
33710,20250827,1
34010,20250827,1
65010,20250827,1
336010,20250827,1
341510,20250827,1
33610,20250828,1
34010,20250828,1
65110,20250828,1
336010,20250828,1
341510,20250828,1
33610,20250829,1
34110,20250829,1
65010,20250829,1
336010,20250829,1
341510,20250829,1
13,20250901,1
10,20250901,2
33610,20250902,1
34010,20250902,1
65110,20250902,1
336010,20250902,1
341610,20250902,1
33710,20250903,1
34010,20250903,1
65010,20250903,1
336010,20250903,1
341510,20250903,1
33610,20250904,1
34010,20250904,1
65110,20250904,1
336010,20250904,1
341510,20250904,1
33610,20250905,1
34110,20250905,1
65010,20250905,1
336010,20250905,1
341510,20250905,1
33610,20250908,1
34010,20250908,1
65110,20250908,1
336110,20250908,1
341510,20250908,1
33610,20250909,1
34010,20250909,1
65110,20250909,1
336010,20250909,1
341610,20250909,1
33710,20250910,1
34010,20250910,1
65010,20250910,1
336010,20250910,1
341510,20250910,1
33610,20250911,1
34010,20250911,1
65110,20250911,1
336010,20250911,1
341510,20250911,1
33610,20250912,1
34110,20250912,1
65010,20250912,1
336010,20250912,1
341510,20250912,1
33610,20250915,1
34010,20250915,1
65110,20250915,1
336110,20250915,1
341510,20250915,1
33610,20250916,1
34010,20250916,1
65110,20250916,1
336010,20250916,1
341610,20250916,1
33710,20250917,1
34010,20250917,1
65010,20250917,1
336010,20250917,1
341510,20250917,1
33610,20250918,1
34010,20250918,1
65110,20250918,1
336010,20250918,1
341510,20250918,1
33610,20250919,1
34110,20250919,1
65010,20250919,1
336010,20250919,1
341510,20250919,1
33610,20250922,1
34010,20250922,1
65110,20250922,1
336110,20250922,1
341510,20250922,1
33610,20250923,1
34010,20250923,1
65110,20250923,1
336010,20250923,1
341610,20250923,1
33710,20250924,1
34010,20250924,1
65010,20250924,1
336010,20250924,1
341510,20250924,1
33610,20250925,1
34010,20250925,1
65110,20250925,1
336010,20250925,1
341510,20250925,1
33610,20250926,1
34110,20250926,1
65010,20250926,1
336010,20250926,1
341510,20250926,1
33610,20250929,1
34010,20250929,1
65110,20250929,1
336110,20250929,1
341510,20250929,1
