route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
LUCYGO,22,375710,Gold Loop,,0,8502,304916,1,
LUCYGO,22,375751,Gold Loop,,0,8504,304918,1,
LUCYGO,22,375741,Gold Loop,,0,8505,304918,1,
LUCYGO,22,375736,Gold Loop,,0,8507,304918,1,
LUCYGO,22,375747,Gold Loop,,0,8508,304918,1,
LUCYGO,22,375711,Gold Loop,,0,8503,304916,1,
LUCYGO,22,375752,Gold Loop,,0,8504,304918,1,
LUCYGO,22,375742,Gold Loop,,0,8505,304918,1,
LUCYGO,22,375737,Gold Loop,,0,8507,304918,1,
LUCYGO,22,375748,Gold Loop,,0,8501,304918,1,
LUCYGO,22,375712,Gold Loop,,0,8506,304916,1,
LUCYGO,22,375743,Gold Loop,,0,8504,304918,1,
LUCYGO,22,375753,Gold Loop,,0,8505,304918,1,
LUCYGO,22,375738,Gold Loop,,0,8507,304918,1,
LUCYGO,22,375749,Gold Loop,,0,8501,304918,1,
LUCYGO,22,375713,Gold Loop,,0,8508,304916,1,
LUCYGO,22,375744,Gold Loop,,0,8504,304918,1,
LUCYGO,22,375754,Gold Loop,,0,8505,304918,1,
LUCYGO,22,375739,Gold Loop,,0,8507,304918,1,
LUCYGO,22,375745,Gold Loop,,0,8501,304918,1,
LUCYGO,22,375714,Gold Loop,,0,8502,304916,1,
LUCYGO,22,375755,Gold Loop,,0,8504,304918,1,
LUCYGO,22,375750,Gold Loop,,0,8505,304918,1,
LUCYGO,22,375740,Gold Loop,,0,8507,304918,1,
LUCYGO,22,375746,Gold Loop,,0,8503,304918,1,
LUCYGO,22,375715,Gold Loop,,0,8506,304916,1,
LUCYGO,22,375756,Gold Loop,,0,8504,304918,1,
LUCYGO,22,375757,Gold Loop,,0,8507,304918,1,
LUCYGO,22,375758,Gold Loop,,0,8501,304918,1,
LUCYGO,22,375716,Gold Loop,,0,8508,304916,1,
LUCYGO,22,375717,Gold Loop,,0,8506,304916,1,
LUCYGO,22,375718,Gold Loop,,0,8508,304916,1,
LUCYGO,22,375719,Gold Loop,,0,8501,304916,1,
LUCYGO,22,375720,Gold Loop,,0,8506,304916,1,
LUCYGO,22,375721,Gold Loop,,0,8508,304916,1,
LUCYGO,22,375722,Gold Loop,,0,8501,304916,1,
LUCYGO,22,375723,Gold Loop,,0,8510,304916,1,
LUCYGO,22,375724,Gold Loop,,0,8509,304916,1,
LUCYGO,22,375725,Gold Loop,,0,8511,304916,1,
LUCYGO,22,375726,Gold Loop,,0,8510,304916,1,
LUCYGO,22,375727,Gold Loop,,0,8513,304916,1,
LUCYGO,22,375728,Gold Loop,,0,8511,304916,1,
LUCYGO,22,375729,Gold Loop,,0,8514,304916,1,
LUCYGO,22,375730,Gold Loop,,0,8512,304916,1,
LUCYGO,22,375731,Gold Loop,,0,8511,304916,1,
LUCYGO,22,375732,Gold Loop,,0,8510,304916,1,
LUCYGO,22,375733,Gold Loop,,0,8513,304916,1,
LUCYGO,22,375734,Gold Loop,,0,8511,304916,1,
LUCYGO,22,375735,Gold Loop,,0,8510,304916,1,
LUCYGR,22,375857,Green Loop,,0,8501,304920,1,
LUCYGR,22,375891,Short Green Presby Only,,0,8503,304919,1,
LUCYGR,22,375858,Green Loop,,0,8506,304920,1,
LUCYGR,22,375892,Short Green Presby Only,,0,8501,304919,1,
LUCYGR,22,375859,Green Loop,,0,8502,304920,1,
LUCYGR,22,375893,Short Green Presby Only,,0,8508,304919,1,
LUCYGR,22,375860,Green Loop,,0,8503,304920,1,
LUCYGR,22,375894,Short Green Presby Only,,0,8502,304919,1,
LUCYGR,22,375861,Green Loop,,0,8506,304920,1,
LUCYGR,22,375895,Short Green Presby Only,,0,8503,304919,1,
LUCYGR,22,375862,Green Loop,,0,8508,304920,1,
LUCYGR,22,375896,Short Green Presby Only,,0,8501,304919,1,
LUCYGR,22,375863,Green Loop,,0,8505,304920,1,
LUCYGR,22,375897,Short Green Presby Only,,0,8503,304919,1,
LUCYGR,22,375864,Green Loop,,0,8504,304920,1,
LUCYGR,22,375865,Green Loop,,0,8501,304920,1,
LUCYGR,22,375866,Green Loop,,0,8506,304920,1,
LUCYGR,22,375867,Green Loop,,0,8508,304920,1,
LUCYGR,22,375868,Green Loop,,0,8501,304920,1,
LUCYGR,22,375869,Green Loop,,0,8506,304920,1,
LUCYGR,22,375870,Green Loop,,0,8509,304920,1,
LUCYGR,22,375871,Green Loop,,0,8511,304920,1,
LUCYGR,22,375872,Green Loop,,0,8510,304920,1,
LUCYGR,22,375873,Green Loop,,0,8509,304920,1,
LUCYGR,22,375874,Green Loop,,0,8511,304920,1,
LUCYGR,22,375898,Green Loop,,0,8512,304921,1,
LUCYGR,22,375887,Green Loop,,0,8509,304921,1,
LUCYGR,22,375875,Green Loop,,0,8514,304920,1,
LUCYGR,22,375884,Green Loop,,0,8510,304921,1,
LUCYGR,22,375899,Green Loop,,0,8512,304921,1,
LUCYGR,22,375888,Green Loop,,0,8513,304920,1,
LUCYGR,22,375876,Green Loop,,0,8509,304921,1,
LUCYGR,22,375885,Green Loop,,0,8510,304920,1,
LUCYGR,22,375877,Green Loop,,0,8511,304921,1,
LUCYGR,22,375889,Green Loop,,0,8513,304920,1,
LUCYGR,22,375878,Green Loop,,0,8514,304921,1,
LUCYGR,22,375890,Green Loop,,0,8510,304920,1,
LUCYGR,22,375886,Green Loop,,0,8512,304921,1,
LUCYGR,22,375879,Green Loop,,0,8513,304920,1,
LUCYGR,22,375880,Green Loop,,0,8511,304920,1,
LUCYGR,22,375881,Green Loop,,0,8510,304920,1,
LUCYGR,22,375882,Green Loop,,0,8513,304920,1,
LUCYGR,22,375883,Green Loop,,0,8511,304920,1,
310,22,440748,Horsham Loop,,0,8551,306151,1,
310,22,440749,Horsham Loop,,0,8551,306151,1,
310,22,440750,Horsham Loop,,0,8552,306151,1,
310,22,440751,Horsham Loop,,0,8551,306151,1,
310,22,440752,Horsham Loop,,0,8552,306151,1,
310,22,440753,Horsham Loop,,0,8551,306151,1,
310,22,440754,Horsham Loop,,0,8552,306151,1,
310,22,440755,Horsham Loop,,0,8551,306151,1,
310,22,440756,Horsham Loop,,0,8552,306151,1,
310,22,440757,Horsham Loop,,0,8551,306151,1,
310,22,440758,Horsham Loop,,0,8552,306151,1,
310,22,440759,Horsham Loop,,0,8551,306151,1,
310,22,440760,Horsham Loop,,0,8552,306151,1,
310,22,440761,Horsham Loop,,0,8551,306151,1,
310,22,440762,Horsham Loop,,0,8552,306151,1,
310,22,440763,Horsham Loop,,0,8551,306151,1,
310,22,440764,Horsham Loop,,0,8552,306151,1,
310,22,440765,Horsham Loop,,0,8551,306151,1,
310,22,440766,Horsham Loop,,0,8552,306151,1,
310,22,440767,Horsham Loop,,0,8551,306151,1,
310,22,440768,Horsham Loop,,0,8552,306151,1,
310,22,440769,Horsham Loop,,0,8553,306151,1,
310,22,440770,Horsham Loop,,0,8552,306151,1,
310,22,440771,Horsham Loop,,0,8553,306151,1,
310,22,440772,Horsham Loop,,0,8553,306151,1,
310,22,440773,Horsham Loop,,0,8553,306151,1,
310,22,440774,Horsham Loop,,0,8553,306151,1,
310,22,440775,Horsham Loop,,0,8553,306151,1,
310,22,440776,Horsham Loop,,0,8553,306151,1,
310,22,440777,Horsham Loop,,0,8553,306151,1,
310,22,440778,Horsham Loop,,0,8553,306151,1,
310,22,440779,Horsham Loop,,0,8553,306151,1,
310,22,440780,Horsham Loop,,0,8553,306151,1,
310,22,440781,Horsham Loop,,0,8553,306151,1,
310,22,440782,Horsham Loop,,0,8553,306151,1,
310,24,440783,Horsham Loop,,0,8551,306151,1,
310,24,440784,Horsham Loop,,0,8551,306151,1,
310,24,440785,Horsham Loop,,0,8551,306151,1,
310,24,440786,Horsham Loop,,0,8551,306151,1,
310,24,440787,Horsham Loop,,0,8551,306151,1,
310,24,440788,Horsham Loop,,0,8551,306151,1,
310,24,440789,Horsham Loop,,0,8551,306151,1,
310,24,440790,Horsham Loop,,0,8551,306151,1,
310,24,440791,Horsham Loop,,0,8552,306151,1,
310,24,440792,Horsham Loop,,0,8552,306151,1,
310,24,440793,Horsham Loop,,0,8552,306151,1,
310,24,440794,Horsham Loop,,0,8552,306151,1,
310,24,440795,Horsham Loop,,0,8552,306151,1,
310,24,440796,Horsham Loop,,0,8552,306151,1,
310,24,440797,Horsham Loop,,0,8552,306151,1,
310,24,440798,Horsham Loop,,0,8552,306151,1,
310,24,440799,Horsham Loop,,0,8552,306151,1,
124,28,483480,Chesterbrook,,0,6171,307123,1,
124,28,483479,Chesterbrook,,0,6172,307123,1,
124,28,483476,Chesterbrook,,0,6171,307123,1,
124,28,483477,Chesterbrook,,0,6173,307123,1,
124,28,483475,Chesterbrook,,0,6172,307123,1,
124,28,483474,Chesterbrook,,0,6171,307123,1,
124,28,483482,Chesterbrook,,0,6173,307123,1,
124,28,483473,Chesterbrook,,0,6172,307123,1,
124,28,483472,Chesterbrook,,0,6171,307123,1,
124,28,483471,Chesterbrook,,0,6173,307123,1,
124,28,483469,Chesterbrook,,0,6171,307123,1,
124,28,483470,Chesterbrook,,0,6173,307123,1,
124,28,483468,Chesterbrook,,0,6174,307123,1,
124,28,483467,Chesterbrook,,0,6176,307123,1,
124,28,483462,Chesterbrook,,0,6177,307123,1,
124,28,483486,Chesterbrook,,0,6174,307123,1,
124,28,483466,Chesterbrook,,0,6175,307123,1,
124,28,483465,Chesterbrook,,0,6176,307123,1,
124,28,483464,Chesterbrook,,0,6177,307123,1,
124,28,483463,Chesterbrook,,0,6174,307123,1,
124,28,483485,Chesterbrook,,0,6176,307123,1,
124,28,483484,Chesterbrook,,0,6174,307123,1,
124,28,483483,Chesterbrook,,0,6176,307123,1,
124,28,483481,Chesterbrook,,0,6174,307123,1,
124,28,483478,Chesterbrook,,0,6176,307123,1,
124,28,483503,Gulph Mills Station,,1,6171,307137,1,
124,28,483502,Gulph Mills Station,,1,6173,307137,1,
124,28,483501,Gulph Mills Station,,1,6172,307137,1,
124,28,483500,Gulph Mills Station,,1,6171,307137,1,
124,28,483492,Gulph Mills Station,,1,6173,307137,1,
124,28,483511,Gulph Mills Station,,1,6172,307137,1,
124,28,483491,Gulph Mills Station,,1,6171,307137,1,
124,28,483490,Gulph Mills Station,,1,6173,307137,1,
124,28,483489,Gulph Mills Station,,1,6171,307137,1,
124,28,483488,Gulph Mills Station,,1,6173,307137,1,
124,28,483487,Gulph Mills Station,,1,6171,307137,1,
124,28,483510,Gulph Mills Station,,1,6173,307137,1,
124,28,483504,Gulph Mills Station,,1,6174,307137,1,
124,28,483509,Gulph Mills Station,,1,6175,307137,1,
124,28,483494,Gulph Mills Station,,1,6176,307137,1,
124,28,483508,Gulph Mills Station,,1,6177,307137,1,
124,28,483507,Gulph Mills Station,,1,6174,307137,1,
124,28,483506,Gulph Mills Station,,1,6175,307137,1,
124,28,483505,Gulph Mills Station,,1,6176,307137,1,
124,28,483499,Gulph Mills Station,,1,6174,307137,1,
124,28,483498,Gulph Mills Station,,1,6176,307137,1,
124,28,483497,Gulph Mills Station,,1,6174,307137,1,
124,28,483496,Gulph Mills Station,,1,6176,307137,1,
124,28,483495,Gulph Mills Station,,1,6174,307137,1,
124,28,483493,Gulph Mills Station,,1,6176,307137,1,
127,28,483825,Trenton Transit Center,,0,6202,307150,1,
127,28,483824,Trenton Transit Center,,0,6201,307150,1,
127,28,483823,Trenton Transit Center,,0,6202,307150,1,
127,28,483822,Trenton Transit Center,,0,6201,307150,1,
127,28,483821,Trenton Transit Center,,0,6202,307150,1,
127,28,483820,Trenton Transit Center,,0,6203,307150,1,
127,28,483819,Trenton Transit Center,,0,6204,307150,1,
127,28,483818,Trenton Transit Center,,0,6205,307150,1,
127,28,483817,Trenton Transit Center,,0,6204,307150,1,
127,28,483816,Trenton Transit Center,,0,6036,307150,1,
127,28,483815,Trenton Transit Center,,0,6205,307150,1,
127,28,483814,Trenton Transit Center,,0,6204,307150,1,
127,28,483813,Levittown Station,,0,6205,307151,1,
127,28,483838,Oxford Valley Mall,,1,6201,307152,1,
127,28,483837,Oxford Valley Mall,,1,6202,307152,1,
127,28,483836,Oxford Valley Mall,,1,6201,307152,1,
127,28,483835,Oxford Valley Mall,,1,6202,307152,1,
127,28,483834,Oxford Valley Mall,,1,6201,307152,1,
127,28,483833,Oxford Valley Mall,,1,6202,307152,1,
127,28,483832,Oxford Valley Mall,,1,6203,307152,1,
127,28,483831,Oxford Valley Mall,,1,6204,307152,1,
127,28,483830,Oxford Valley Mall,,1,6205,307152,1,
127,28,483829,Oxford Valley Mall,,1,6204,307152,1,
127,28,483828,Oxford Valley Mall,,1,6036,307152,1,
127,28,483827,Oxford Valley Mall,,1,6205,307152,1,
127,28,483826,Oxford Valley Mall,,1,6204,307152,1,
128,28,483928,Neshaminy Mall,,0,6216,307153,1,
128,28,483929,Neshaminy Mall,,0,6215,307153,1,
128,28,483925,Neshaminy Mall,,0,6218,307155,1,
128,28,483930,Neshaminy Mall,,0,6216,307155,1,
128,28,483931,Neshaminy Mall,,0,6215,307155,1,
128,28,483932,Neshaminy Mall,,0,6218,307155,1,
128,28,483933,Neshaminy Mall,,0,6203,307155,1,
128,28,483934,Neshaminy Mall,,0,6219,307155,1,
128,28,483935,Neshaminy Mall,,0,6218,307155,1,
128,28,483927,Neshaminy Mall,,0,6203,307153,1,
128,28,483926,Neshaminy Mall,,0,6219,307153,1,
128,28,483943,Oxford Valley Mall,,1,6215,307156,1,
128,28,483936,Oxford Valley Mall,,1,6217,307156,1,
128,28,483945,Oxford Valley Mall,,1,6216,307156,1,
128,28,483937,Oxford Valley Mall,,1,6215,307156,1,
128,28,483938,Oxford Valley Mall,,1,6218,307158,1,
128,28,483939,Oxford Valley Mall,,1,6216,307158,1,
128,28,483944,Oxford Valley Mall,,1,6219,307158,1,
128,28,483941,Oxford Valley Mall,,1,6218,307158,1,
128,28,483942,Oxford Valley Mall,,1,6203,307158,1,
128,28,483940,Oxford Valley Mall,,1,6219,307158,1,
129,28,484027,Frankford-Knights,,0,6231,307162,1,
129,28,484029,Frankford-Knights,,0,6234,307159,1,
129,28,484015,Frankford-Knights,,0,6233,307159,1,
129,28,484016,Frankford-Knights,,0,6231,307159,1,
129,28,484017,Frankford-Knights,,0,6232,307159,1,
129,28,484018,Frankford-Knights,,0,6245,307159,1,
129,28,484019,Frankford-Knights,,0,6246,307159,1,
129,28,484020,Frankford-Knights,,0,6247,307159,1,
129,28,484021,Frankford-Knights,,0,6234,307159,1,
129,28,484022,Frankford-Knights,,0,6237,307159,1,
129,28,484023,Frankford-Knights,,0,6235,307159,1,
129,28,484024,Frankford-Knights,,0,6236,307159,1,
129,28,484025,Frankford-Knights,,0,6238,307159,1,
129,28,484026,Frankford-Knights,,0,6237,307159,1,
129,28,484028,Frankford-Knights,,0,6235,307159,1,
129,28,484031,Frankford-Knights,,0,6236,307159,1,
129,28,484030,Frankford-Knights,,0,6238,307159,1,
129,28,484049,Bridgewater Industrial Park,,1,6232,307166,1,
129,28,484034,Oxford Valley Mall,,1,6233,307168,1,
129,28,484035,Oxford Valley Mall,,1,6231,307168,1,
129,28,484036,Oxford Valley Mall,,1,6232,307168,1,
129,28,484037,Oxford Valley Mall,,1,6245,307168,1,
129,28,484038,Oxford Valley Mall,,1,6246,307168,1,
129,28,484039,Oxford Valley Mall,,1,6247,307168,1,
129,28,484040,Oxford Valley Mall,,1,6234,307168,1,
129,28,484041,Oxford Valley Mall,,1,6233,307168,1,
129,28,484042,Oxford Valley Mall,,1,6235,307168,1,
129,28,484043,Oxford Valley Mall,,1,6236,307168,1,
129,28,484044,Oxford Valley Mall,,1,6238,307168,1,
129,28,484045,Oxford Valley Mall,,1,6237,307168,1,
129,28,484046,Oxford Valley Mall,,1,6235,307168,1,
129,28,484032,Oxford Valley Mall,,1,6236,307168,1,
129,28,484047,Oxford Valley Mall,,1,6238,307168,1,
129,28,484033,Oxford Valley Mall,,1,6249,307168,1,
129,28,484048,Oxford Valley Mall,,1,6250,307168,1,
130,28,484213,Bucks County Community College,,0,6245,307171,1,
130,28,484212,Bucks County Community College,,0,6246,307171,1,
130,28,484211,Bucks County Community College,,0,6247,307171,1,
130,28,484226,Bucks County Community College,,0,6234,307172,1,
130,28,484225,Bucks County Community College,,0,6233,307175,1,
130,28,484224,Bucks County Community College,,0,6231,307175,1,
130,28,484223,Bucks County Community College,,0,6232,307175,1,
130,28,484222,Bucks County Community College,,0,6248,307175,1,
130,28,484221,Bucks County Community College,,0,6249,307175,1,
130,28,484220,Bucks County Community College,,0,6250,307175,1,
130,28,484219,Bucks County Community College,,0,6251,307175,1,
130,28,484218,Bucks County Community College,,0,6248,307175,1,
130,28,484217,Bucks County Community College,,0,6249,307175,1,
130,28,484216,Bucks County Community College,,0,6250,307175,1,
130,28,484215,Bucks County Community College,,0,6248,307172,1,
130,28,484214,Bucks County Community College,,0,6237,307172,1,
130,28,484242,Frankford-Knights,,1,6232,307182,1,
130,28,484241,Frankford-Knights,,1,6245,307180,1,
130,28,484240,Frankford-Knights,,1,6246,307180,1,
130,28,484239,Frankford-Knights,,1,6247,307178,1,
130,28,484238,Frankford-Knights,,1,6234,307178,1,
130,28,484237,Frankford-Knights,,1,6233,307178,1,
130,28,484236,Frankford-Knights,,1,6231,307178,1,
130,28,484235,Frankford-Knights,,1,6232,307178,1,
130,28,484234,Frankford-Knights,,1,6248,307178,1,
130,28,484233,Frankford-Knights,,1,6249,307178,1,
130,28,484232,Frankford-Knights,,1,6250,307183,1,
130,28,484231,Frankford-Knights,,1,6251,307183,1,
130,28,484230,Frankford-Knights,,1,6248,307178,1,
130,28,484229,Frankford-Knights,,1,6249,307180,1,
130,28,484228,Frankford-Knights,,1,6250,307180,1,
130,28,484227,Frankford-Knights,,1,6248,307180,1,
130,28,484243,Frankford-Knights,,1,6237,307180,1,
131,28,484370,Audubon,,0,6261,307188,1,
131,28,484372,Audubon,,0,6262,307188,1,
131,28,484375,Audubon,,0,6261,307188,1,
131,28,484374,Audubon,,0,6262,307188,1,
131,28,484381,Audubon,,0,6261,307188,1,
131,28,484371,Valley Forge Business Center,,0,6262,307187,1,
131,28,484369,Valley Forge Business Center,,0,6261,307187,1,
131,28,484368,Valley Forge Business Center,,0,6046,307187,1,
131,28,484367,Valley Forge Business Center,,0,6046,307187,1,
131,28,484366,Valley Forge Business Center,,0,6046,307187,1,
131,28,484365,Valley Forge Business Center,,0,6083,307187,1,
131,28,484380,Audubon,,0,6150,307188,1,
131,28,484379,Audubon,,0,6263,307188,1,
131,28,484378,Audubon,,0,6150,307188,1,
131,28,484377,Audubon,,0,6263,307188,1,
