service_id,date,exception_type
34010,20250616,1
336110,20250616,1
34010,20250617,1
336010,20250617,1
34010,20250618,1
336010,20250618,1
34010,20250619,1
336010,20250619,1
34110,20250620,1
336010,20250620,1
34010,20250623,1
336110,20250623,1
34010,20250624,1
336010,20250624,1
34010,20250625,1
336010,20250625,1
34010,20250626,1
336010,20250626,1
34110,20250627,1
336010,20250627,1
34010,20250630,1
336110,20250630,1
34010,20250701,1
336010,20250701,1
34010,20250702,1
336010,20250702,1
34010,20250703,1
336010,20250703,1
13,20250704,1
10,20250704,2
34010,20250707,1
336110,20250707,1
34010,20250708,1
336010,20250708,1
34010,20250709,1
336010,20250709,1
34010,20250710,1
336010,20250710,1
34110,20250711,1
336010,20250711,1
34010,20250714,1
336110,20250714,1
34010,20250715,1
336010,20250715,1
34010,20250716,1
336010,20250716,1
34010,20250717,1
336010,20250717,1
34110,20250718,1
336010,20250718,1
34010,20250721,1
336110,20250721,1
34010,20250722,1
336010,20250722,1
34010,20250723,1
336010,20250723,1
34010,20250724,1
336010,20250724,1
34110,20250725,1
336010,20250725,1
34010,20250728,1
336110,20250728,1
34010,20250729,1
336010,20250729,1
34010,20250730,1
336010,20250730,1
34010,20250731,1
336010,20250731,1
34110,20250801,1
336010,20250801,1
34010,20250804,1
336110,20250804,1
34010,20250805,1
336010,20250805,1
34010,20250806,1
336010,20250806,1
34010,20250807,1
336010,20250807,1
34110,20250808,1
336010,20250808,1
34010,20250811,1
336110,20250811,1
34010,20250812,1
336010,20250812,1
34010,20250813,1
336010,20250813,1
34010,20250814,1
336010,20250814,1
34110,20250815,1
336010,20250815,1
34010,20250818,1
336110,20250818,1
34010,20250819,1
336010,20250819,1
34010,20250820,1
336010,20250820,1
34010,20250821,1
336010,20250821,1
34110,20250822,1
336010,20250822,1
19,20250704,1
16,20250704,2
367125,20250615,1
367122,20250617,1
367122,20250620,1
367124,20250621,1
367125,20250622,1
367024,20250628,1
26,20250704,1
22,20250704,2
367124,20250712,1
367122,20250715,1
367122,20250716,1
367124,20250719,1
367125,20250720,1
367122,20250723,1
367122,20250724,1
367122,20250725,1
367122,20250728,1
367022,20250729,1
367122,20250731,1
367122,20250801,1
367024,20250802,1
367125,20250803,1
367022,20250805,1
367122,20250807,1
367022,20250808,1
367124,20250809,1
367124,20250816,1
367124,20250823,1
31,20250704,1
28,20250704,2
340640,20250616,1
340540,20250617,1
340540,20250618,1
340540,20250619,1
340540,20250620,1
340640,20250623,1
340540,20250624,1
340540,20250625,1
340540,20250626,1
340540,20250627,1
340640,20250630,1
340540,20250701,1
340540,20250702,1
340540,20250703,1
43,20250704,1
40,20250704,2
340640,20250707,1
340540,20250708,1
340540,20250709,1
340540,20250710,1
340540,20250711,1
340640,20250714,1
340540,20250715,1
340540,20250716,1
340540,20250717,1
340540,20250718,1
340640,20250721,1
340540,20250722,1
340540,20250723,1
340540,20250724,1
340540,20250725,1
340640,20250728,1
340540,20250729,1
340540,20250730,1
340540,20250731,1
340540,20250801,1
340640,20250804,1
340540,20250805,1
340540,20250806,1
340540,20250807,1
340540,20250808,1
340640,20250811,1
340540,20250812,1
340540,20250813,1
340540,20250814,1
340540,20250815,1
340640,20250818,1
340540,20250819,1
340540,20250820,1
340540,20250821,1
340540,20250822,1
308849,20250615,1
366849,20250615,1
308846,20250616,1
340946,20250616,1
366846,20250616,1
308846,20250617,1
340946,20250617,1
366846,20250617,1
308846,20250618,1
340946,20250618,1
366846,20250618,1
308846,20250619,1
340946,20250619,1
366846,20250619,1
308846,20250620,1
340946,20250620,1
366846,20250620,1
366848,20250621,1
308749,20250622,1
366849,20250622,1
308746,20250623,1
341046,20250623,1
366846,20250623,1
308746,20250624,1
340946,20250624,1
366846,20250624,1
308846,20250625,1
340946,20250625,1
366846,20250625,1
308846,20250626,1
340946,20250626,1
366846,20250626,1
308846,20250627,1
340946,20250627,1
366846,20250627,1
366848,20250628,1
308749,20250629,1
366849,20250629,1
308746,20250630,1
341046,20250630,1
366846,20250630,1
308746,20250701,1
340946,20250701,1
366846,20250701,1
308846,20250702,1
340946,20250702,1
366846,20250702,1
308846,20250703,1
340946,20250703,1
366846,20250703,1
308849,20250704,1
366849,20250704,1
49,20250704,1
46,20250704,2
366848,20250705,1
308749,20250706,1
366849,20250706,1
308746,20250707,1
341046,20250707,1
366846,20250707,1
308746,20250708,1
340946,20250708,1
366846,20250708,1
308846,20250709,1
340946,20250709,1
366846,20250709,1
308846,20250710,1
340946,20250710,1
366846,20250710,1
308846,20250711,1
340946,20250711,1
366846,20250711,1
366748,20250712,1
308749,20250713,1
366749,20250713,1
308746,20250714,1
341046,20250714,1
366746,20250714,1
308746,20250715,1
341046,20250715,1
366746,20250715,1
308746,20250716,1
341046,20250716,1
366746,20250716,1
308746,20250717,1
341046,20250717,1
366746,20250717,1
308746,20250718,1
341046,20250718,1
366746,20250718,1
366748,20250719,1
308749,20250720,1
366749,20250720,1
308746,20250721,1
341046,20250721,1
366746,20250721,1
308746,20250722,1
341046,20250722,1
366746,20250722,1
308746,20250723,1
341046,20250723,1
366746,20250723,1
308746,20250724,1
341046,20250724,1
366746,20250724,1
308746,20250725,1
341046,20250725,1
366746,20250725,1
366748,20250726,1
308749,20250727,1
366749,20250727,1
308746,20250728,1
341046,20250728,1
366746,20250728,1
308746,20250729,1
341046,20250729,1
366746,20250729,1
308746,20250730,1
341046,20250730,1
366746,20250730,1
308746,20250731,1
341046,20250731,1
366746,20250731,1
308746,20250801,1
341046,20250801,1
366746,20250801,1
366748,20250802,1
308749,20250803,1
366749,20250803,1
308746,20250804,1
341046,20250804,1
366746,20250804,1
308746,20250805,1
341046,20250805,1
366746,20250805,1
308746,20250806,1
341046,20250806,1
366746,20250806,1
308746,20250807,1
341046,20250807,1
366746,20250807,1
308746,20250808,1
341046,20250808,1
366746,20250808,1
366748,20250809,1
308749,20250810,1
366749,20250810,1
308746,20250811,1
341046,20250811,1
366846,20250811,1
308746,20250812,1
340946,20250812,1
366846,20250812,1
308846,20250813,1
340946,20250813,1
366846,20250813,1
308846,20250814,1
340946,20250814,1
366846,20250814,1
308846,20250815,1
340946,20250815,1
366846,20250815,1
366848,20250816,1
308749,20250817,1
366849,20250817,1
308746,20250818,1
341046,20250818,1
366846,20250818,1
308746,20250819,1
340946,20250819,1
366846,20250819,1
308846,20250820,1
340946,20250820,1
366846,20250820,1
308846,20250821,1
340946,20250821,1
366846,20250821,1
308846,20250822,1
340946,20250822,1
366846,20250822,1
366848,20250823,1
308155,20250615,1
366555,20250615,1
308152,20250616,1
341352,20250616,1
366552,20250616,1
308152,20250617,1
341352,20250617,1
366552,20250617,1
308152,20250618,1
341352,20250618,1
366552,20250618,1
308152,20250619,1
341352,20250619,1
366552,20250619,1
308152,20250620,1
341352,20250620,1
366552,20250620,1
366554,20250621,1
308055,20250622,1
366555,20250622,1
308052,20250623,1
341252,20250623,1
366552,20250623,1
308052,20250624,1
341352,20250624,1
366552,20250624,1
308152,20250625,1
341352,20250625,1
366552,20250625,1
308152,20250626,1
341352,20250626,1
366552,20250626,1
308152,20250627,1
341352,20250627,1
366552,20250627,1
366554,20250628,1
308055,20250629,1
366555,20250629,1
308052,20250630,1
341252,20250630,1
366552,20250630,1
308052,20250701,1
341352,20250701,1
366552,20250701,1
308152,20250702,1
341352,20250702,1
366552,20250702,1
308152,20250703,1
341352,20250703,1
366552,20250703,1
308155,20250704,1
366555,20250704,1
55,20250704,1
52,20250704,2
366554,20250705,1
308055,20250706,1
366555,20250706,1
308052,20250707,1
341252,20250707,1
366552,20250707,1
308052,20250708,1
341352,20250708,1
366552,20250708,1
308152,20250709,1
341352,20250709,1
366552,20250709,1
308152,20250710,1
341352,20250710,1
366552,20250710,1
308152,20250711,1
341352,20250711,1
366552,20250711,1
366454,20250712,1
308055,20250713,1
366455,20250713,1
308052,20250714,1
341252,20250714,1
366452,20250714,1
308052,20250715,1
341252,20250715,1
366452,20250715,1
308052,20250716,1
341252,20250716,1
366452,20250716,1
308052,20250717,1
341252,20250717,1
366452,20250717,1
308052,20250718,1
341252,20250718,1
366452,20250718,1
366454,20250719,1
308055,20250720,1
366455,20250720,1
308052,20250721,1
341252,20250721,1
366452,20250721,1
308052,20250722,1
341252,20250722,1
366452,20250722,1
308052,20250723,1
341252,20250723,1
366452,20250723,1
308052,20250724,1
341252,20250724,1
366452,20250724,1
308052,20250725,1
341252,20250725,1
366452,20250725,1
366454,20250726,1
308055,20250727,1
366455,20250727,1
308052,20250728,1
341252,20250728,1
366452,20250728,1
308052,20250729,1
341252,20250729,1
366452,20250729,1
308052,20250730,1
341252,20250730,1
366452,20250730,1
308052,20250731,1
341252,20250731,1
366452,20250731,1
308052,20250801,1
341252,20250801,1
366452,20250801,1
366454,20250802,1
308055,20250803,1
366455,20250803,1
308052,20250804,1
341252,20250804,1
366452,20250804,1
308052,20250805,1
341252,20250805,1
366452,20250805,1
308052,20250806,1
341252,20250806,1
366452,20250806,1
308052,20250807,1
341252,20250807,1
366452,20250807,1
308052,20250808,1
341252,20250808,1
366452,20250808,1
366454,20250809,1
308055,20250810,1
366455,20250810,1
308052,20250811,1
341252,20250811,1
366552,20250811,1
308052,20250812,1
341352,20250812,1
366552,20250812,1
308152,20250813,1
341352,20250813,1
366552,20250813,1
308152,20250814,1
341352,20250814,1
366552,20250814,1
308152,20250815,1
341352,20250815,1
366552,20250815,1
366554,20250816,1
308055,20250817,1
366555,20250817,1
308052,20250818,1
341252,20250818,1
366552,20250818,1
308052,20250819,1
341352,20250819,1
366552,20250819,1
308152,20250820,1
341352,20250820,1
366552,20250820,1
308152,20250821,1
341352,20250821,1
366552,20250821,1
308152,20250822,1
341352,20250822,1
366552,20250822,1
366554,20250823,1
