route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
103,40,272195,Ardmore via Brookline,,0,4201,302566,1,
103,40,272194,Ardmore via Brookline,,0,4202,302566,1,
103,40,272193,Ardmore via Brookline,,0,4203,302566,1,
103,40,272192,Ardmore via Brookline,,0,4201,302566,1,
103,40,272191,Ardmore via Brookline,,0,4202,302566,1,
103,40,272216,Ardmore via Brookline,,0,4203,302566,1,
103,40,272215,Ardmore via Brookline,,0,4204,302566,1,
103,40,272214,Ardmore via Brookline,,0,4202,302566,1,
103,40,272213,Ardmore via Brookline,,0,4204,302566,1,
103,40,272212,Ardmore via Brookline,,0,4202,302566,1,
103,40,272211,Ardmore via Brookline,,0,4204,302566,1,
103,40,272210,Ardmore via Brookline,,0,4202,302566,1,
103,40,272209,Ardmore via Brookline,,0,4204,302566,1,
103,40,272208,Ardmore via Brookline,,0,4202,302566,1,
103,40,272207,Ardmore via Brookline,,0,4205,302566,1,
103,40,272206,Ardmore via Brookline,,0,4206,302566,1,
103,40,272205,Ardmore via Brookline,,0,4202,302566,1,
103,40,272203,Ardmore via Brookline,,0,4205,302566,1,
103,40,272202,Ardmore via Brookline,,0,4206,302566,1,
103,40,272204,Ardmore via Brookline,,0,4202,302566,1,
103,40,272201,Ardmore via Brookline,,0,4205,302566,1,
103,40,272198,City-Haverford,,0,4206,302565,1,
103,40,272200,Ardmore via Brookline,,0,4202,302566,1,
103,40,272199,Ardmore via Brookline,,0,4204,302566,1,
103,40,272197,City-Haverford,,0,4205,302570,1,
103,40,272196,77th-City,,0,4205,302568,1,
103,40,272231,69th St Transit Center,,1,4201,302571,1,
103,40,272247,69th St Transit Center,,1,4201,302571,1,
103,40,272229,69th St Transit Center,,1,4202,302572,1,
103,40,272225,69th St Transit Center,,1,4203,302571,1,
103,40,272228,69th St Transit Center,,1,4201,302572,1,
103,40,272224,69th St Transit Center,,1,4204,302571,1,
103,40,272226,69th St Transit Center,,1,4202,302572,1,
103,40,272230,69th St Transit Center,,1,4204,302571,1,
103,40,272223,69th St Transit Center,,1,4203,302572,1,
103,40,272227,69th St Transit Center,,1,4204,302571,1,
